,Preposition,Accuracy,Count,Dataset,Model,Seed
0,on,0.6190476190476191,21,On_Under_Images,NegCLIP_finetuned,1
1,under,0.3333333333333333,21,On_Under_Images,NegCLIP_finetuned,1
0,on,0.4761904761904761,21,On_Under_Images,NegCLIP_finetuned,1
1,under,0.5238095238095238,21,On_Under_Images,NegCLIP_finetuned,1
0,on,0.8571428571428571,21,On_Under_Images,xvlm-pretrained-16m_finetuned,1
1,under,0.8571428571428571,21,On_Under_Images,xvlm-pretrained-16m_finetuned,1
0,on,0.8571428571428571,21,On_Under_Images,xvlm-pretrained-16m_finetuned,1
1,under,0.8571428571428571,21,On_Under_Images,xvlm-pretrained-16m_finetuned,1
0,on,0.8571428571428571,21,On_Under_Images,xvlm-pretrained-16m_finetuned,1
1,under,0.8571428571428571,21,On_Under_Images,xvlm-pretrained-16m_finetuned,1
0,on,0.8571428571428571,21,On_Under_Images,xvlm-pretrained-16m_finetuned,1
1,under,0.8571428571428571,21,On_Under_Images,xvlm-pretrained-16m_finetuned,1
0,on,0.8571428571428571,21,On_Under_Images,xvlm-pretrained-16m_finetuned,1
1,under,0.8571428571428571,21,On_Under_Images,xvlm-pretrained-16m_finetuned,1
0,on,0.8571428571428571,21,On_Under_Images,xvlm-pretrained-16m_finetuned,1
1,under,0.8571428571428571,21,On_Under_Images,xvlm-pretrained-16m_finetuned,1
0,on,0.8571428571428571,21,On_Under_Images,xvlm-pretrained-16m_finetuned,1
1,under,0.8571428571428571,21,On_Under_Images,xvlm-pretrained-16m_finetuned,1
0,on,0.8571428571428571,21,On_Under_Images,xvlm-pretrained-16m_finetuned,1
1,under,0.8571428571428571,21,On_Under_Images,xvlm-pretrained-16m_finetuned,1
0,on,0.8571428571428571,21,On_Under_Images,xvlm-pretrained-16m_finetuned,1
1,under,0.8571428571428571,21,On_Under_Images,xvlm-pretrained-16m_finetuned,1
0,on,0.8571428571428571,21,On_Under_Images,xvlm-pretrained-16m_finetuned,1
1,under,0.8571428571428571,21,On_Under_Images,xvlm-pretrained-16m_finetuned,1
0,on,0.8571428571428571,21,On_Under_Images,xvlm-pretrained-16m_finetuned,1
1,under,0.8571428571428571,21,On_Under_Images,xvlm-pretrained-16m_finetuned,1
0,on,0.8571428571428571,21,On_Under_Images,xvlm-pretrained-16m_finetuned,1
1,under,0.8571428571428571,21,On_Under_Images,xvlm-pretrained-16m_finetuned,1
0,on,0.8571428571428571,21,On_Under_Images,xvlm-pretrained-16m_finetuned,1
1,under,0.8571428571428571,21,On_Under_Images,xvlm-pretrained-16m_finetuned,1
0,on,0.9047619047619048,21,On_Under_Images,xvlm-pretrained-16m_finetuned,1
1,under,1.0,21,On_Under_Images,xvlm-pretrained-16m_finetuned,1
