,Relation,Accuracy,Count,Dataset,Model,Seed
0,above,0.4684014869888476,269,VG_Relation,openai-clip:ViT-B/32,1
1,adjusting,1.0,1,VG_Relation,openai-clip:ViT-B/32,1
2,around,0.45454545454545453,22,VG_Relation,openai-clip:ViT-B/32,1
3,at,0.5866666666666667,75,VG_Relation,openai-clip:ViT-B/32,1
4,attached to,0.6666666666666666,3,VG_Relation,openai-clip:ViT-B/32,1
5,behind,0.5609756097560976,574,VG_Relation,openai-clip:ViT-B/32,1
6,below,0.5598086124401914,209,VG_Relation,openai-clip:ViT-B/32,1
7,beneath,0.8,10,VG_Relation,openai-clip:ViT-B/32,1
8,beside,0.4107142857142857,56,VG_Relation,openai-clip:ViT-B/32,1
9,between,0.5,4,VG_Relation,openai-clip:ViT-B/32,1
10,bigger than,1.0,1,VG_Relation,openai-clip:ViT-B/32,1
11,biting,1.0,1,VG_Relation,openai-clip:ViT-B/32,1
12,boarding,1.0,2,VG_Relation,openai-clip:ViT-B/32,1
13,brushing,0.0,1,VG_Relation,openai-clip:ViT-B/32,1
14,by,0.40594059405940597,101,VG_Relation,openai-clip:ViT-B/32,1
15,carrying,0.3333333333333333,12,VG_Relation,openai-clip:ViT-B/32,1
16,chewing,1.0,1,VG_Relation,openai-clip:ViT-B/32,1
17,cleaning,0.0,1,VG_Relation,openai-clip:ViT-B/32,1
18,climbing,1.0,1,VG_Relation,openai-clip:ViT-B/32,1
19,close to,0.6,5,VG_Relation,openai-clip:ViT-B/32,1
20,coming from,0.6,5,VG_Relation,openai-clip:ViT-B/32,1
21,coming out of,1.0,1,VG_Relation,openai-clip:ViT-B/32,1
22,contain,0.8333333333333334,6,VG_Relation,openai-clip:ViT-B/32,1
23,covered by,0.5,36,VG_Relation,openai-clip:ViT-B/32,1
24,covered in,0.7857142857142857,14,VG_Relation,openai-clip:ViT-B/32,1
25,covered with,0.5625,16,VG_Relation,openai-clip:ViT-B/32,1
26,covering,0.3939393939393939,33,VG_Relation,openai-clip:ViT-B/32,1
27,crossing,0.75,8,VG_Relation,openai-clip:ViT-B/32,1
28,cutting,0.75,12,VG_Relation,openai-clip:ViT-B/32,1
29,dragging,1.0,1,VG_Relation,openai-clip:ViT-B/32,1
30,draped over,0.0,1,VG_Relation,openai-clip:ViT-B/32,1
31,drinking,0.0,2,VG_Relation,openai-clip:ViT-B/32,1
32,drinking from,1.0,1,VG_Relation,openai-clip:ViT-B/32,1
33,driving,0.0,1,VG_Relation,openai-clip:ViT-B/32,1
34,driving down,1.0,1,VG_Relation,openai-clip:ViT-B/32,1
35,driving on,0.6666666666666666,6,VG_Relation,openai-clip:ViT-B/32,1
36,eating,0.5714285714285714,21,VG_Relation,openai-clip:ViT-B/32,1
37,eating from,0.5,4,VG_Relation,openai-clip:ViT-B/32,1
38,eating in,0.5,2,VG_Relation,openai-clip:ViT-B/32,1
39,enclosing,0.0,1,VG_Relation,openai-clip:ViT-B/32,1
40,exiting,0.0,1,VG_Relation,openai-clip:ViT-B/32,1
41,facing,0.3333333333333333,3,VG_Relation,openai-clip:ViT-B/32,1
42,feeding,0.9,10,VG_Relation,openai-clip:ViT-B/32,1
43,filled with,0.6666666666666666,6,VG_Relation,openai-clip:ViT-B/32,1
44,floating in,1.0,3,VG_Relation,openai-clip:ViT-B/32,1
45,floating on,0.0,1,VG_Relation,openai-clip:ViT-B/32,1
46,flying,0.5,4,VG_Relation,openai-clip:ViT-B/32,1
47,flying above,1.0,1,VG_Relation,openai-clip:ViT-B/32,1
48,flying in,0.42857142857142855,7,VG_Relation,openai-clip:ViT-B/32,1
49,flying over,1.0,1,VG_Relation,openai-clip:ViT-B/32,1
50,flying through,1.0,1,VG_Relation,openai-clip:ViT-B/32,1
51,full of,0.75,4,VG_Relation,openai-clip:ViT-B/32,1
52,going down,1.0,1,VG_Relation,openai-clip:ViT-B/32,1
53,going into,0.0,1,VG_Relation,openai-clip:ViT-B/32,1
54,going through,1.0,2,VG_Relation,openai-clip:ViT-B/32,1
55,grazing in,0.5,2,VG_Relation,openai-clip:ViT-B/32,1
56,grazing on,0.1,10,VG_Relation,openai-clip:ViT-B/32,1
57,growing in,0.6666666666666666,3,VG_Relation,openai-clip:ViT-B/32,1
58,growing on,0.0,8,VG_Relation,openai-clip:ViT-B/32,1
59,guiding,1.0,1,VG_Relation,openai-clip:ViT-B/32,1
60,hanging from,0.3333333333333333,3,VG_Relation,openai-clip:ViT-B/32,1
61,hanging in,1.0,1,VG_Relation,openai-clip:ViT-B/32,1
62,hanging off,1.0,2,VG_Relation,openai-clip:ViT-B/32,1
63,hanging on,0.7857142857142857,14,VG_Relation,openai-clip:ViT-B/32,1
64,hanging over,1.0,1,VG_Relation,openai-clip:ViT-B/32,1
65,higher than,1.0,1,VG_Relation,openai-clip:ViT-B/32,1
66,holding,0.5774647887323944,142,VG_Relation,openai-clip:ViT-B/32,1
67,holding onto,0.0,1,VG_Relation,openai-clip:ViT-B/32,1
68,hugging,0.6666666666666666,3,VG_Relation,openai-clip:ViT-B/32,1
69,in,0.6299435028248588,708,VG_Relation,openai-clip:ViT-B/32,1
70,in between,0.0,1,VG_Relation,openai-clip:ViT-B/32,1
71,in front of,0.5357142857142857,588,VG_Relation,openai-clip:ViT-B/32,1
72,inside,0.5,58,VG_Relation,openai-clip:ViT-B/32,1
73,jumping off,1.0,1,VG_Relation,openai-clip:ViT-B/32,1
74,jumping on,1.0,1,VG_Relation,openai-clip:ViT-B/32,1
75,jumping over,1.0,3,VG_Relation,openai-clip:ViT-B/32,1
76,kept in,1.0,3,VG_Relation,openai-clip:ViT-B/32,1
77,larger than,1.0,1,VG_Relation,openai-clip:ViT-B/32,1
78,leading,1.0,2,VG_Relation,openai-clip:ViT-B/32,1
79,leaning against,0.8888888888888888,9,VG_Relation,openai-clip:ViT-B/32,1
80,leaning on,0.6666666666666666,12,VG_Relation,openai-clip:ViT-B/32,1
81,leaning over,0.75,8,VG_Relation,openai-clip:ViT-B/32,1
82,leaving,0.0,1,VG_Relation,openai-clip:ViT-B/32,1
83,licking,1.0,1,VG_Relation,openai-clip:ViT-B/32,1
84,longer than,1.0,1,VG_Relation,openai-clip:ViT-B/32,1
85,looking at,0.8064516129032258,31,VG_Relation,openai-clip:ViT-B/32,1
86,looking in,0.7142857142857143,7,VG_Relation,openai-clip:ViT-B/32,1
87,looking into,1.0,3,VG_Relation,openai-clip:ViT-B/32,1
88,looking out,1.0,2,VG_Relation,openai-clip:ViT-B/32,1
89,looking over,0.0,1,VG_Relation,openai-clip:ViT-B/32,1
90,looking through,1.0,1,VG_Relation,openai-clip:ViT-B/32,1
91,lying in,0.4666666666666667,15,VG_Relation,openai-clip:ViT-B/32,1
92,lying next to,1.0,1,VG_Relation,openai-clip:ViT-B/32,1
93,lying on,0.6,60,VG_Relation,openai-clip:ViT-B/32,1
94,lying on top of,0.5714285714285714,7,VG_Relation,openai-clip:ViT-B/32,1
